(month 1-9/2007; 1-5/2008)
<OPEN>,<HIGH>,<LOW>,<CLOSE_PREVIOUSDAY>,<VOL>,<GOLD>,<CLOSE>
1022.3500,1039.6300,1022.3500,1020.0400,4251680,670.6000,1039.6300
1061.8900,1066.0400,1061.8900,1039.6300,5233040,669.5000,1066.0400
1069.1500,1069.1500,1054.6899,1066.0400,5960560,672.0000,1054.6899
1051.6200,1051.6200,1040.9900,1054.6899,4968670,661.8000,1040.9900
1039.2700,1059.7900,1039.2700,1040.9900,5075380,657.4000,1059.7900
1063.3300,1066.5601,1063.3300,1059.7900,5535620,661.1700,1066.5601
1077.6200,1085.4100,1077.6200,1066.5601,5482285,662.9800,1085.4100
1102.7000,1107.5200,1102.7000,1085.4100,7198500,659.2000,1107.5200
1127.7500,1127.7500,1113.1899,1107.5200,8099620,661.5500,1113.1899
1101.7900,1101.7900,1085.3000,1113.1899,5800610,654.3000,1085.3000
1073.5200,1089.6000,1073.5200,1085.3000,5900630,655.7500,1089.6000
1113.2400,1113.2400,1098.6400,1089.6000,5705020,655.3000,1098.6400
1102.8199,1102.8199,1093.7700,1098.6400,5971530,656.8300,1093.7700
1080.9600,1080.9600,1077.8800,1093.7700,4828860,653.2500,1077.8800
1087.5500,1087.5500,1081.4800,1077.8800,5343250,660.4000,1081.4800
1085.9301,1085.9301,1077.3600,1081.4800,5383160,671.2500,1077.3600
1074.1801,1074.1801,1062.1000,1077.3600,5260978,670.9000,1062.1000
1051.6801,1051.6801,1039.6600,1062.1000,5547140,669.7500,1039.6600
1040.4500,1045.2900,1038.9000,1039.6600,6524970,670.5000,1045.2900
1057.5400,1060.5601,1057.5400,1045.2900,5167590,658.8800,1060.0200
1067.1300,1067.1300,1054.7800,1060.0200,7722410,648.3000,1057.3600
1042.0900,1042.0900,1037.2900,1057.3600,5267270,653.4000,1040.7500
1034.8800,1036.5400,1034.8800,1040.7500,5285160,646.9000,1036.5400
1035.9700,1038.8000,1033.7100,1036.5400,5578620,651.3500,1038.8000
1044.0200,1044.0200,1042.7900,1038.8000,5896260,651.6500,1042.7900
1050.6300,1050.6300,1048.1899,1042.7900,5388510,654.9000,1048.1899
1046.4200,1046.6200,1043.9900,1048.1899,5715300,655.9500,1043.9900
1047.9500,1049.8700,1047.9500,1043.9900,6104260,661.3000,1049.5800
1050.8800,1050.8800,1045.2800,1049.5800,6427950,654.3000,1045.2800
1043.9600,1043.9600,1034.4301,1045.2800,5187010,651.9000,1034.4301
1031.2600,1037.4500,1031.2600,1034.4301,5396810,653.7500,1033.6899
1047.9700,1047.9700,1044.3900,1033.6899,4967100,650.9000,1044.3900
1064.1500,1064.1500,1054.3800,1044.3900,5514170,641.1000,1055.7000
1057.0800,1057.0800,1032.9600,1055.7000,4459540,643.3500,1032.9600
1024.3000,1024.6200,1024.0400,1032.9600,4126440,648.6500,1024.0400
1020.6400,1024.6801,1020.6400,1024.0400,4191350,649.2000,1024.6801
1015.7100,1015.7100,994.1700,1024.6801,5497790,656.9500,994.1700
976.1100,977.3000,975.4000,994.1700,5565910,652.9500,977.3000
996.1400,1013.5600,996.1400,977.3000,4761820,654.0500,1013.5600
1013.9500,1013.9500,1012.8200,1013.5600,5218240,649.2500,1012.8200
1008.3600,1010.5300,1008.3600,1012.8200,4906828,655.4000,1010.5300
1004.3900,1010.2700,1004.3900,1010.5300,3785850,660.2000,1010.2700
1015.1500,1023.0400,1015.1500,1010.2700,4688500,663.1300,1023.0400
1032.4301,1032.7100,1029.8500,1023.0400,4880720,660.8300,1029.8500
1025.7200,1025.7200,1017.6800,1029.8500,4443210,666.6500,1017.6800
1010.7100,1015.7300,1010.7100,1017.6800,4455640,666.4500,1015.7300
1005.1600,1005.1600,995.8300,1015.7300,4982700,664.6500,995.8300
995.8600,1001.0500,995.8600,995.8300,4545830,664.6500,1000.3300
998.7500,998.7500,994.7300,1000.3300,4271680,672.7000,994.7300
990.8400,990.8400,984.4300,994.7300,3713490,677.2000,984.4300
980.3500,982.1700,980.3500,984.4300,4714360,682.9500,981.3100
982.1700,983.5300,982.1700,981.3100,5127567,680.6500,982.4300
975.0800,975.0800,970.5500,982.4300,4662820,674.9000,972.5600
965.9200,965.9200,956.1300,972.5600,3516380,662.6500,956.1300
946.0300,946.0300,939.9400,956.1300,4158415,660.6000,940.3600
928.4800,931.5500,924.8700,940.3600,2204160,664.6000,925.4400
905.8000,908.0400,896.1100,925.4400,4847660,664.0000,907.9500
905.3400,925.9200,903.6100,907.9500,4833010,666.7500,923.1400
926.6700,926.9500,911.1800,923.1400,4759920,665.3500,911.1800
895.2200,898.2400,892.8800,911.1800,3988980,672.6000,892.8800
892.8800,894.0800,883.9000,892.8800,3231500,671.7500,883.9000
890.7500,898.7600,890.4200,883.9000,3715230,672.1000,896.9100
902.7800,910.0500,900.6600,896.9100,4430630,674.5000,910.0500
923.1500,938.2100,921.7900,910.0500,4974890,661.7800,938.2100
942.3300,942.3300,924.9800,938.2100,6972520,672.4500,935.6800
916.0000,916.6800,909.1500,935.6800,3745980,669.2300,909.1500
912.8200,923.1500,912.8200,909.1500,4005960,668.8500,923.1500
918.1700,918.1700,913.4700,923.1500,3444010,667.4500,915.3400
904.4700,907.5400,900.2600,915.3400,3890770,652.3500,900.2600
886.9200,889.9900,886.3500,900.2600,3842720,657.3500,887.9300
876.0400,890.0200,875.0600,887.9300,5017200,657.4500,890.0200
897.0300,899.9900,892.5300,890.0200,6320240,657.1800,895.7200
898.6200,898.6200,892.0700,895.7200,4701280,660.6000,892.0700
891.5000,891.5800,886.0100,892.0700,5144050,659.9500,887.6200
897.0600,905.4800,896.7600,887.6200,7167400,667.8500,905.4800
911.0100,911.0100,906.5500,905.4800,5744740,667.4000,909.0700
904.7500,905.5900,900.8500,909.0700,4945530,662.5500,902.5800
895.5400,901.1700,894.0600,902.5800,5285170,667.3000,901.1700
901.2600,905.2000,899.1900,901.1700,4118470,665.0500,903.9400
904.5700,910.0700,904.5700,903.9400,7016470,672.9500,908.3700
919.8700,929.8500,919.8700,908.3700,5902210,681.5500,929.8500
938.7600,938.7600,925.5700,929.8500,7450000,681.6800,925.5700
926.1100,928.3600,925.9900,925.5700,6693390,695.2000,928.3600
929.5300,934.1300,929.5300,928.3600,6208740,700.4800,934.1300
933.0200,933.0200,927.1400,934.1300,6034110,702.8800,927.1400
925.2800,925.2800,920.4800,927.1400,5897118,712.2500,920.4800
