(month 1->07/2007)
<OPEN>,<HIGH>,<LOW>,<CLOSE_PREVIOUSDAY>,<VOL>,<CLOSE>
147.0000,147.0000,139.1000,146.2000,125500,140.0000
140.0000,140.5000,135.0000,140.0000,125700,140.5000
140.0000,140.0000,136.0000,140.5000,128900,137.0000
138.0000,138.0000,134.0000,137.0000,212200,136.5000
138.0000,140.0000,136.0000,136.5000,53400,136.3000
136.0000,137.0000,133.0000,136.3000,54700,133.5000
133.2000,134.0000,122.0000,133.5000,131200,126.2000
122.0000,125.0000,113.0000,126.2000,258200,114.0000
115.0000,115.0000,107.0000,114.0000,304100,111.8000
119.5000,120.7000,112.0000,111.8000,405700,120.7000
123.0000,127.0000,118.1000,120.7000,258800,119.5000
120.1000,122.0000,114.0000,119.5000,151600,120.3000
119.0000,122.0000,117.2000,120.3000,135800,120.0000
120.0000,128.5000,119.0000,120.0000,195700,128.0000
130.0000,131.0000,128.1000,128.0000,226600,128.7000
130.0000,130.0000,121.0000,128.7000,152900,124.3000
122.5000,127.0000,122.5000,124.3000,127500,127.0000
124.5000,125.0000,121.0000,127.0000,144800,121.8000
122.0000,124.5000,121.8000,121.8000,107800,124.2000
123.5000,125.8000,123.5000,124.2000,118260,124.2000
125.0000,125.0000,122.0000,124.2000,191928,123.3000
123.5000,123.5000,122.5000,123.3000,142800,122.6000
124.0000,124.0000,121.3000,122.6000,88700,122.0000
122.0000,122.5000,120.5000,122.0000,70000,120.5000
121.5000,122.0000,118.0000,120.5000,123400,119.2000
119.0000,119.0000,117.5000,119.2000,116800,117.9000
117.1000,118.5000,115.0000,117.9000,140200,118.0000
115.0000,116.5000,114.5000,118.0000,65400,116.5000
116.0000,116.0000,114.7000,116.5000,87500,115.3000
